club_name,league_name
FC Red Bull Salzburg,Austrian Football Bundesliga
1. FSV Mainz 05,German 1. Bundesliga
KRC Genk,Belgian Jupiler Pro League
Lecce,Italian Serie B
Racing Club de Lens,French Ligue 1
FC Metz,French Ligue 1
Rio Ave FC,Portuguese Liga ZON SAGRES
Dijon FCO,French Ligue 1
Nacional de Montevideo,Uruguayan Primera División
FC Utrecht,Holland Eredivisie
FC København,Danish Superliga
UD Almería,Spanish Segunda División
Spezia,Italian Serie A
FC Midtjylland,Danish Superliga
Aalborg BK,Danish Superliga
AEK Athens,Greek Super League
Olimpia Asunción,Paraguayan Primera División
FC Basel 1893,Swiss Super League
Junior FC,Colombian Liga Postobón
Hamburger SV,German 2. Bundesliga
Santos Laguna,Mexican Liga MX
Cádiz CF,Spain Primera Division
Perth Glory,Australian Hyundai A-League
Deportivo Toluca,Mexican Liga MX
Rosenborg BK,Norwegian Eliteserien
KAA Gent,Belgian Jupiler Pro League
Swansea City,English League Championship
Çaykur Rizespor,Turkish Süper Lig
Chongqing Dangdai Lifan FC SWM Team,Chinese Super League
RCD Mallorca,Spanish Segunda División
Montreal Impact,USA Major League Soccer
New England Revolution,USA Major League Soccer
SPAL,Italian Serie B
Real Zaragoza,Spanish Segunda División
DSC Arminia Bielefeld,German 1. Bundesliga
Al Wehda,Saudi Abdul L. Jameel League
Pachuca,Mexican Liga MX
Stade Malherbe Caen,French Ligue 2
Al Ain FC,UAE Arabian Gulf League
Godoy Cruz,Argentina Primera División
Colo-Colo,Chilian Campeonato Nacional
Columbus Crew SC,USA Major League Soccer
Vasco da Gama,Campeonato Brasileiro Série A
Club Athletico Paranaense,Campeonato Brasileiro Série A
Botafogo,Campeonato Brasileiro Série A
Fortaleza,Campeonato Brasileiro Série A
Guadalajara,Mexican Liga MX
Famalicão,Portuguese Liga ZON SAGRES
Portimonense SC,Portuguese Liga ZON SAGRES
VfB Stuttgart,German 1. Bundesliga
SC Heerenveen,Holland Eredivisie
Rangers FC,Scottish Premiership
Nîmes Olympique,French Ligue 1
Boavista FC,Portuguese Liga ZON SAGRES
U.N.A.M.,Mexican Liga MX
Atlético Nacional,Colombian Liga Postobón
Royal Excel Mouscron,Belgian Jupiler Pro League
Nottingham Forest,English League Championship
FC Luzern,Swiss Super League
Preston North End,English League Championship
LASK Linz,Austrian Football Bundesliga
Toulouse Football Club,French Ligue 2
Defensa y Justicia,Argentina Primera División
FC Cincinnati,USA Major League Soccer
Real Salt Lake,USA Major League Soccer
New York Red Bulls,USA Major League Soccer
Moreirense FC,Portuguese Liga ZON SAGRES
New York City FC,USA Major League Soccer
DC United,USA Major League Soccer
Brescia,Italian Serie B
Ulsan Hyundai FC,Korean K League Classic
Yeni Malatyaspor,Turkish Süper Lig
Philadelphia Union,USA Major League Soccer
Hatayspor,Turkish Süper Lig
Millwall,English League Championship
Vancouver Whitecaps FC,USA Major League Soccer
FC Lorient,French Ligue 1
Atiker Konyaspor,Turkish Süper Lig
Antalyaspor,Turkish Süper Lig
Molde FK,Norwegian Eliteserien
PAOK,Greek Super League
Western United FC,Australian Hyundai A-League
Shandong Luneng TaiShan FC,Chinese Super League
Wisła Kraków,Polish T-Mobile Ekstraklasa
Denizlispor,Turkish Süper Lig
Newells Old Boys,Argentina Primera División
Sporting Kansas City,USA Major League Soccer
Malmö FF,Swedish Allsvenskan
Henan Jianye FC,Chinese Super League
Fortuna Düsseldorf,German 2. Bundesliga
Sparta Praha,Czech Republic Gambrinus Liga
Kayserispor,Turkish Süper Lig
SV Sandhausen,German 2. Bundesliga
Benevento,Italian Serie A
Minnesota United FC,USA Major League Soccer
Houston Dynamo,USA Major League Soccer
Rosario Central,Argentina Primera División
Club Atlético Colón,Argentina Primera División
FC Seoul,Korean K League Classic
Paris FC,French Ligue 2
MKE Ankaragücü,Turkish Süper Lig
Al Taawoun,Saudi Abdul L. Jameel League
FC Dallas,USA Major League Soccer
Atlético de San Luis,Mexican Liga MX
Elche CF,Spain Primera Division
Argentinos Juniors,Argentina Primera División
Independiente del Valle,Ecuadorian Serie A
Chicago Fire,USA Major League Soccer
Puebla FC,Mexican Liga MX
Deportivo Cali,Colombian Liga Postobón
VfL Bochum 1848,German 2. Bundesliga
Clube Sport Marítimo,Portuguese Liga ZON SAGRES
Kaizer Chiefs,South African Premier Division
Panathinaikos FC,Greek Super League
Astra Giurgiu,Romanian Liga I
Daegu FC,Korean K League Classic
Bahia,Campeonato Brasileiro Série A
Atlético Clube Goianiense,Campeonato Brasileiro Série A
Peñarol,Uruguayan Primera División
Club Atlético Talleres,Argentina Primera División
FCSB (Steaua),Romanian Liga I
1. FC Nürnberg,German 2. Bundesliga
Sporting de Charleroi,Belgian Jupiler Pro League
Standard de Liège,Belgian Jupiler Pro League
Viktoria Plzeň,Czech Republic Gambrinus Liga
Stoke City,English League Championship
Reading,English League Championship
Shenzhen FC,Chinese Super League
FC St. Gallen,Swiss Super League
Blackburn Rovers,English League Championship
San Jose Earthquakes,USA Major League Soccer
Kashiwa Reysol,Japanese J. League Division 1
Real Sporting de Gijón,Spanish Segunda División
Vitesse,Holland Eredivisie
Club Libertad,Paraguayan Primera División
Willem II,Holland Eredivisie
Club Guaraní,Paraguayan Primera División
FC Sion,Swiss Super League
Al Ittihad,Saudi Abdul L. Jameel League
Gençlerbirliği SK,Turkish Süper Lig
KAS Eupen,Belgian Jupiler Pro League
Rayo Vallecano,Spanish Segunda División
Göztepe SK,Turkish Süper Lig
Western Sydney Wanderers,Australian Hyundai A-League
ESTAC Troyes,French Ligue 2
Sydney FC,Australian Hyundai A-League
Jeonbuk Hyundai Motors,Korean K League Classic
Hannover 96,German 2. Bundesliga
FC Juárez,Mexican Liga MX
Ettifaq FC,Saudi Abdul L. Jameel League
Yokohama F. Marinos,Japanese J. League Division 1
Club Atlético Aldosivi,Argentina Primera División
Orlando Pirates,South African Premier Division
Holstein Kiel,German 2. Bundesliga
Unión de Santa Fe,Argentina Primera División
Gil Vicente FC,Portuguese Liga ZON SAGRES
Club Atlético Banfield,Argentina Primera División
Sint-Truidense VV,Belgian Jupiler Pro League
Huddersfield Town,English League Championship
IFK Norrköping,Swedish Allsvenskan
FC Paços de Ferreira,Portuguese Liga ZON SAGRES
Real Oviedo,Spanish Segunda División
CD Tondela,Portuguese Liga ZON SAGRES
América de Cali,Colombian Liga Postobón
Middlesbrough,English League Championship
KSV Cercle Brugge,Belgian Jupiler Pro League
FC Emmen,Holland Eredivisie
SK Rapid Wien,Austrian Football Bundesliga
Hammarby IF,Swedish Allsvenskan
Empoli,Italian Serie B
FK Bodø/Glimt,Norwegian Eliteserien
AD Alcorcón,Spanish Segunda División
Colorado Rapids,USA Major League Soccer
Al Faisaly,Saudi Abdul L. Jameel League
Heracles Almelo,Holland Eredivisie
Crotone,Italian Serie A
Nashville SC,USA Major League Soccer
1. FC Heidenheim 1846,German 2. Bundesliga
Gamba Osaka,Japanese J. League Division 1
Melbourne City FC,Australian Hyundai A-League
Millonarios FC,Colombian Liga Postobón
Legia Warszawa,Polish T-Mobile Ekstraklasa
Wolfsberger AC,Austrian Football Bundesliga
Mazatlán FC,Mexican Liga MX
AIK,Swedish Allsvenskan
FK Austria Wien,Austrian Football Bundesliga
River Plate Asunción,Paraguayan Primera División
Os Belenenses,Portuguese Liga ZON SAGRES
LDU Quito,Ecuadorian Serie A
CFR Cluj,Romanian Liga I
Sheffield Wednesday,English League Championship
Cardiff City,English League Championship
AC Monza,Italian Serie B
Kawasaki Frontale,Japanese J. League Division 1
Cerezo Osaka,Japanese J. League Division 1
